Date,Revenue,Profit
01-01-2014,14236.895,2450.1907
01-02-2014,4519.892,862.3084
01-03-2014,55691.009,498.7299
01-04-2014,28295.345,3488.8352
01-05-2014,23648.287,2738.7096
01-06-2014,34595.1276,4976.5244
01-07-2014,33946.393,-841.4826
01-08-2014,27909.4685,5318.105
01-09-2014,81777.3508,8328.0994
01-10-2014,31453.393,3448.2573
01-11-2014,78628.7167,9292.1269
01-12-2014,69545.6205,8983.5699
01-01-2015,18174.0756,-3281.007
01-02-2015,11951.411,2813.8508
01-03-2015,38726.252,9732.0978
01-04-2015,34195.2085,4187.4962
01-05-2015,30131.6865,4667.869
01-06-2015,24797.292,3335.5572
01-07-2015,28765.325,3288.6483
01-08-2015,36898.3322,5355.8084
01-09-2015,64595.918,8209.1627
01-10-2015,31404.9235,2817.366
01-11-2015,75972.5635,12474.7884
01-12-2015,74919.5212,8016.9659
01-01-2016,18542.491,2824.8233
01-02-2016,22978.815,5004.5795
01-03-2016,51715.875,3611.968
01-04-2016,38750.039,2977.8149
01-05-2016,56987.728,8662.1464
01-06-2016,40344.534,4750.3781
01-07-2016,39261.963,4432.8779
01-08-2016,31115.3743,2062.0693
01-09-2016,73410.0249,9328.6576
01-10-2016,59687.745,16243.1425
01-11-2016,79411.9658,4011.4075
01-12-2016,96999.043,17885.3093
01-01-2017,43971.374,7140.4391
01-02-2017,20301.1334,1613.872
01-03-2017,58872.3528,14751.8915
01-04-2017,36521.5361,933.29
01-05-2017,44261.1102,6342.5828
01-06-2017,52981.7257,8223.3357
01-07-2017,45264.416,6952.6212
01-08-2017,63120.888,9040.9557
01-09-2017,87866.652,10991.5556
01-10-2017,77776.9232,9275.2755
01-11-2017,118447.825,9690.1037
01-12-2017,83829.3188,8483.3468
